source_post_id,title,slug,mime_type,caption,description,alt_text,upload_path,file_exists,source_url,metadata_json
58,BlueAlgelWings,bluealgelwings,image/jpeg,,,,2017/01/BlueAlgelWings.jpg,1,https://wingsofwin.com/wp-content/uploads/2017/01/BlueAlgelWings.jpg,"{""file"": ""2017/01/BlueAlgelWings.jpg"", ""height"": 1700, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""-11644462800"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [""scarf, wings scarf, wings shawls, silk scarf, cotton scarves, bird scarfs, feather shawls""], ""orientation"": ""0"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""BlueAlgelWings-1024x1024.jpg"", ""height"": 1024, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""BlueAlgelWings-500x500.jpg"", ""height"": 500, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""BlueAlgelWings-768x768.jpg"", ""height"": 768, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""BlueAlgelWings-464x464.jpg"", ""height"": 464, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_thumbnail"": {""file"": ""BlueAlgelWings-200x200.jpg"", ""height"": 200, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""BlueAlgelWings-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 1700}"
12,logotip100x100,logotip100x100,image/png,,,,2016/12/logotip100x100.png,1,https://wingsofwin.com/wp-content/uploads/2016/12/logotip100x100.png,"{""file"": ""2016/12/logotip100x100.png"", ""height"": 100, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""0"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [], ""orientation"": ""0"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": [], ""width"": 100}"
13,logotip120x120,logotip120x120,image/png,,,,2016/12/logotip120x120.png,1,https://wingsofwin.com/wp-content/uploads/2016/12/logotip120x120.png,"{""file"": ""2016/12/logotip120x120.png"", ""height"": 120, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""0"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [], ""orientation"": ""0"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": [], ""width"": 120}"
18,Header4K,header4k,image/jpeg,,,,2016/12/Header4K.jpg,1,https://wingsofwin.com/wp-content/uploads/2016/12/Header4K.jpg,"{""file"": ""2016/12/Header4K.jpg"", ""height"": 1024, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""0"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [], ""orientation"": ""1"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""Header4K-1024x256.jpg"", ""height"": 256, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""Header4K-500x125.jpg"", ""height"": 125, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""Header4K-768x192.jpg"", ""height"": 192, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""Header4K-464x116.jpg"", ""height"": 116, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_magnifier"": {""file"": ""Header4K-600x150.jpg"", ""height"": 150, ""mime-type"": ""image/jpeg"", ""width"": 600}, ""shop_single"": {""file"": ""Header4K-600x150.jpg"", ""height"": 150, ""mime-type"": ""image/jpeg"", ""width"": 600}, ""shop_thumbnail"": {""file"": ""Header4K-200x50.jpg"", ""height"": 50, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""Header4K-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 4096}"
19,Header1920,header1920,image/jpeg,,,,2016/12/Header1920.jpg,1,https://wingsofwin.com/wp-content/uploads/2016/12/Header1920.jpg,"{""file"": ""2016/12/Header1920.jpg"", ""height"": 480, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""0"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [], ""orientation"": ""1"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""Header1920-1024x256.jpg"", ""height"": 256, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""Header1920-500x125.jpg"", ""height"": 125, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""Header1920-768x192.jpg"", ""height"": 192, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""Header1920-464x116.jpg"", ""height"": 116, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_magnifier"": {""file"": ""Header1920-600x150.jpg"", ""height"": 150, ""mime-type"": ""image/jpeg"", ""width"": 600}, ""shop_single"": {""file"": ""Header1920-600x150.jpg"", ""height"": 150, ""mime-type"": ""image/jpeg"", ""width"": 600}, ""shop_thumbnail"": {""file"": ""Header1920-200x50.jpg"", ""height"": 50, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""Header1920-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 1920}"
88,purple wings shawl,purple-wings-shawl,image/jpeg,,,,2017/01/purple-wings-shawl.jpg,1,https://wingsofwin.com/wp-content/uploads/2017/01/purple-wings-shawl.jpg,"{""custom_sizes"": {""159x159"": {""file"": ""88_purple-wings-shawl-159x159.jpg"", ""height"": 159, ""width"": 159}, ""200x150"": {""file"": ""88_purple-wings-shawl-200x150.jpg"", ""height"": ""150"", ""width"": ""200""}, ""332x332"": {""file"": ""88_purple-wings-shawl-332x332.jpg"", ""height"": 332, ""width"": 332}, ""464x516"": {""file"": ""88_purple-wings-shawl-464x516.jpg"", ""height"": 516, ""width"": 464}}, ""file"": ""2017/01/purple-wings-shawl.jpg"", ""height"": 1700, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""0"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [], ""orientation"": ""1"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""purple-wings-shawl-1024x1024.jpg"", ""height"": 1024, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""purple-wings-shawl-500x500.jpg"", ""height"": 500, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""purple-wings-shawl-768x768.jpg"", ""height"": 768, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""purple-wings-shawl-464x464.jpg"", ""height"": 464, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_thumbnail"": {""file"": ""purple-wings-shawl-200x200.jpg"", ""height"": 200, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""purple-wings-shawl-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 1700}"
89,purple scarf woman,purple-scarf-woman,image/jpeg,,,,2017/01/purple-scarf-woman.jpg,1,https://wingsofwin.com/wp-content/uploads/2017/01/purple-scarf-woman.jpg,"{""custom_sizes"": {""159x159"": {""file"": ""89_purple-scarf-woman-159x159.jpg"", ""height"": 159, ""width"": 159}, ""332x332"": {""file"": ""89_purple-scarf-woman-332x332.jpg"", ""height"": 332, ""width"": 332}, ""464x516"": {""file"": ""89_purple-scarf-woman-464x516.jpg"", ""height"": 516, ""width"": 464}}, ""file"": ""2017/01/purple-scarf-woman.jpg"", ""height"": 1700, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""0"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [], ""orientation"": ""1"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""purple-scarf-woman-1024x1024.jpg"", ""height"": 1024, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""purple-scarf-woman-500x500.jpg"", ""height"": 500, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""purple-scarf-woman-768x768.jpg"", ""height"": 768, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""purple-scarf-woman-464x464.jpg"", ""height"": 464, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_thumbnail"": {""file"": ""purple-scarf-woman-200x200.jpg"", ""height"": 200, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""purple-scarf-woman-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 1700}"
114,BrandWingsOfWin,brandwingsofwin,image/svg+xml,,,,2017/01/BrandWingsOfWin.svg,1,https://wingsofwin.com/wp-content/uploads/2017/01/BrandWingsOfWin.svg,{}
59,BlueAlgelWingsScarver,bluealgelwingsscarver,image/jpeg,,,,2017/01/BlueAlgelWingsScarver.jpg,1,https://wingsofwin.com/wp-content/uploads/2017/01/BlueAlgelWingsScarver.jpg,"{""file"": ""2017/01/BlueAlgelWingsScarver.jpg"", ""height"": 1700, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""-11644462800"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [""scarf, wings scarf, wings shawls, silk scarf, cotton scarves, bird scarfs, feather shawls""], ""orientation"": ""0"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""BlueAlgelWingsScarver-1024x1024.jpg"", ""height"": 1024, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""BlueAlgelWingsScarver-500x500.jpg"", ""height"": 500, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""BlueAlgelWingsScarver-768x768.jpg"", ""height"": 768, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""BlueAlgelWingsScarver-464x464.jpg"", ""height"": 464, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_thumbnail"": {""file"": ""BlueAlgelWingsScarver-200x200.jpg"", ""height"": 200, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""BlueAlgelWingsScarver-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 1700}"
60,BlueAngel,blueangel,image/jpeg,,,,2017/01/BlueAngel.jpg,1,https://wingsofwin.com/wp-content/uploads/2017/01/BlueAngel.jpg,"{""file"": ""2017/01/BlueAngel.jpg"", ""height"": 1700, ""image_meta"": {""aperture"": ""0"", ""camera"": """", ""caption"": """", ""copyright"": """", ""created_timestamp"": ""-11644462800"", ""credit"": """", ""focal_length"": ""0"", ""iso"": ""0"", ""keywords"": [""scarf, wings scarf, wings shawls, silk scarf, cotton scarves, bird scarfs, feather shawls""], ""orientation"": ""0"", ""shutter_speed"": ""0"", ""title"": """"}, ""sizes"": {""large"": {""file"": ""BlueAngel-1024x1024.jpg"", ""height"": 1024, ""mime-type"": ""image/jpeg"", ""width"": 1024}, ""medium"": {""file"": ""BlueAngel-500x500.jpg"", ""height"": 500, ""mime-type"": ""image/jpeg"", ""width"": 500}, ""medium_large"": {""file"": ""BlueAngel-768x768.jpg"", ""height"": 768, ""mime-type"": ""image/jpeg"", ""width"": 768}, ""shop_catalog"": {""file"": ""BlueAngel-464x464.jpg"", ""height"": 464, ""mime-type"": ""image/jpeg"", ""width"": 464}, ""shop_thumbnail"": {""file"": ""BlueAngel-200x200.jpg"", ""height"": 200, ""mime-type"": ""image/jpeg"", ""width"": 200}, ""thumbnail"": {""file"": ""BlueAngel-300x300.jpg"", ""height"": 300, ""mime-type"": ""image/jpeg"", ""width"": 300}}, ""width"": 1700}"
